enroll,no,nama,waktu,kondisi,kondisi_baru,status,operasi
202,,Karyawan,09/03/2020 06:30,C/In,,OK,
202,,Karyawan,09/03/2020 16:03,C/Out,,OK,
202,,Karyawan,10/03/2020 07:03,C/In,,OK,
202,,Karyawan,10/03/2020 15:02,C/Out,,OK,
202,,Karyawan,11/03/2020 08:31,C/In,,OK,
202,,Karyawan,11/03/2020 18:20,C/Out,,OK,
